Crakehill,Skip Bridge,Westwick,Arkengarthdale,East Cowton,Malham Tarn,Snaizeholme,Skelton
0.130981004,0.125511724,0.117160655,0.1,0.1,0.1,0.1,0.133187671
0.114169037,0.112508518,0.107787008,0.11705151,0.119323671,0.221904762,0.157142857,0.115060103
0.138689548,0.131205674,0.117429395,0.1,0.103864734,0.1,0.1,0.140298286
0.122868679,0.130660508,0.113381097,0.276198934,0.188888889,0.186349206,0.147619048,0.151765278
0.101651831,0.100716792,0.100763221,0.1,0.1,0.1,0.1,0.101803756
0.111966596,0.116112668,0.107124832,0.1,0.1,0.1,0.1,0.116464224
0.205863999,0.225832261,0.171929848,0.114209591,0.138647343,0.214285714,0.235714286,0.306308646
0.217243278,0.251475228,0.236702615,0.182415631,0.266183575,0.346349206,0.216666667,0.342491776
0.195585941,0.237482648,0.226514148,0.148312611,0.103864734,0.140634921,0.10952381,0.22555366
0.127310269,0.110297569,0.116973612,0.1,0.1,0.1,0.1,0.127319163
0.104588419,0.101938366,0.10344847,0.105683837,0.1,0.125396825,0.111904762,0.104829818
0.11787648,0.114446884,0.107612864,0.1,0.1,0.112698413,0.1,0.115960181
0.201459117,0.197332223,0.201121452,0.196625222,0.107729469,0.24984127,0.216666667,0.382995279
0.101027806,0.100827844,0.100640676,0.1,0.1,0.1,0.1,0.10081187
0.168422502,0.132245526,0.138212665,0.1,0.1,0.102539683,0.102380952,0.14947908
0.105652932,0.103422428,0.10240791,0.1,0.1,0.107619048,0.114285714,0.104606598
0.137588327,0.13053936,0.122028073,0.1,0.1,0.102539683,0.1,0.143340549
0.11038818,0.108793317,0.106681949,0.108525755,0.142512077,0.115238095,0.1,0.111423788
0.135018813,0.129731708,0.120379085,0.1,0.1,0.105079365,0.1,0.139560222
0.248444526,0.25281795,0.246308454,0.182415631,0.146376812,0.254920635,0.278571429,0.344651962
0.114536111,0.112074405,0.105215704,0.128419183,0.119323671,0.219365079,0.111904762,0.113998011
0.324795815,0.27703743,0.263608854,0.151154529,0.225603865,0.201587302,0.171428571,0.413417911
0.110241351,0.112316701,0.105738134,0.1,0.1,0.1,0.1,0.112629892
0.124557218,0.124885793,0.113198354,0.1,0.107729469,0.155873016,0.133333333,0.128345252
0.108662935,0.117314051,0.118332361,0.114209591,0.12705314,0.150793651,0.1,0.121684676
0.106717445,0.108086621,0.103596815,0.1,0.1,0.1,0.1,0.106505763
0.206598146,0.139756695,0.16707963,0.1,0.1,0.1,0.1,0.157057735
0.131715151,0.130872517,0.116408184,0.1,0.1,0.1,0.1,0.130181411
0.29910067,0.273544333,0.202050217,0.102841918,0.107729469,0.107619048,0.114285714,0.272267701
0.145663944,0.154799223,0.138414757,0.273357016,0.270048309,0.117777778,0.104761905,0.171152955
0.12826466,0.120231695,0.134254663,0.11705151,0.20821256,0.178730159,0.14047619,0.287767042
0.158144443,0.185237627,0.138238464,0.1,0.1,0.102539683,0.1,0.174015202
0.139790768,0.1429974,0.141557939,0.108525755,0.1,0.193968254,0.121428571,0.153331413
0.126209048,0.121352313,0.112420083,0.1,0.119323671,0.112698413,0.1,0.12647309
0.206598146,0.259561849,0.171158027,0.108525755,0.111594203,0.105079365,0.123809524,0.231800201
0.195585941,0.19775624,0.175475065,0.151154529,0.1,0.29047619,0.252380952,0.323410125
0.124226851,0.140150425,0.119719059,0.102841918,0.161835749,0.1,0.104761905,0.132917647
